# Unified Field Theory Simulation Data
# Generated: 2026-02-05 22:34:53
# Lattice size: 64×64
# Total steps: 1000
#
# Columns: step, time, beta, energy, coherence, charge, rho_lambda
#
     0       0.00   1.0480e+44   4.2880e+47   0.0000    -1.60  2.4833e+148
     1       0.01   5.2400e+43   2.1463e+47   0.9995    -2.00  1.2417e+148
     2       0.02   3.4933e+43   1.4313e+47   1.0000    -2.00  8.2778e+147
     3       0.03   2.6200e+43   1.0731e+47   1.0000    -2.00  6.2084e+147
     4       0.04   2.0960e+43   8.5859e+46   1.0000    -2.00  4.9667e+147
     5       0.05   1.7467e+43   7.1554e+46   1.0000    -2.00  4.1389e+147
     6       0.06   1.4971e+43   6.1332e+46   1.0000    -2.00  3.5476e+147
     7       0.07   1.3100e+43   5.3657e+46   1.0000    -2.00  3.1042e+147
     8       0.08   1.1644e+43   4.7697e+46   1.0000    -2.00  2.7593e+147
     9       0.09   1.0480e+43   4.2933e+46   1.0000    -2.00  2.4833e+147
    10       0.10   9.5273e+42   3.9026e+46   1.0000    -2.00  2.2576e+147
    11       0.11   8.7333e+42   3.5775e+46   1.0000    -2.00  2.0695e+147
    12       0.12   8.0615e+42   3.3025e+46   1.0000    -2.00  1.9103e+147
    13       0.13   7.4857e+42   3.0663e+46   1.0000    -2.00  1.7738e+147
    14       0.14   6.9867e+42   2.8620e+46   1.0000    -2.00  1.6556e+147
    15       0.15   6.5500e+42   2.6831e+46   1.0000    -2.00  1.5521e+147
    16       0.16   6.1647e+42   2.5252e+46   1.0000    -2.00  1.4608e+147
    17       0.17   5.8222e+42   2.3848e+46   1.0000    -2.00  1.3796e+147
    18       0.18   5.5158e+42   2.2593e+46   1.0000    -2.00  1.3070e+147
    19       0.19   5.2400e+42   2.1463e+46   1.0000    -2.00  1.2417e+147
    20       0.20   4.9905e+42   2.0436e+46   1.0000    -2.00  1.1825e+147
    21       0.21   4.7636e+42   1.9513e+46   1.0000    -2.00  1.1288e+147
    22       0.22   4.5565e+42   1.8665e+46   1.0000    -2.00  1.0797e+147
    23       0.23   4.3667e+42   1.7884e+46   1.0000    -2.00  1.0347e+147
    24       0.24   4.1920e+42   1.7172e+46   1.0000    -2.00  9.9334e+146
    25       0.25   4.0308e+42   1.6510e+46   1.0000    -2.00  9.5513e+146
    26       0.26   3.8815e+42   1.5900e+46   1.0000    -2.00  9.1976e+146
    27       0.27   3.7429e+42   1.5332e+46   1.0000    -2.00  8.8691e+146
    28       0.28   3.6138e+42   1.4802e+46   1.0000    -2.00  8.5633e+146
    29       0.29   3.4933e+42   1.4311e+46   1.0000    -2.00  8.2778e+146
    30       0.30   3.3806e+42   1.3847e+46   1.0000    -2.00  8.0108e+146
    31       0.31   3.2750e+42   1.3416e+46   1.0000    -2.00  7.7605e+146
    32       0.32   3.1758e+42   1.3007e+46   1.0000    -2.00  7.5253e+146
    33       0.33   3.0824e+42   1.2625e+46   1.0000    -2.00  7.3040e+146
    34       0.34   2.9943e+42   1.2265e+46   1.0000    -2.00  7.0953e+146
    35       0.35   2.9111e+42   1.1927e+46   1.0000    -2.00  6.8982e+146
    36       0.36   2.8324e+42   1.1603e+46   1.0000    -2.00  6.7117e+146
    37       0.37   2.7579e+42   1.1297e+46   1.0000    -2.00  6.5351e+146
    38       0.38   2.6872e+42   1.1007e+46   1.0000    -2.00  6.3676e+146
    39       0.39   2.6200e+42   1.0734e+46   1.0000    -2.00  6.2084e+146
